contestant,harmonic_centrality
Symone,9825.150000002377
Kandy Muse,8890.899999999996
Denali Foxx,8714.433333332909
Rosé,8565.016666666153
Gottmik,8511.028571428438
Utica Queen,7449.007142855792
LaLa Ri,7342.595238093466
Tina Burner,7104.728571426986
Olivia Lux,6177.907142856824
Kahmora Hall-Iman,4223.282142856342
Joey Jay,4160.798809523196
Tamisha Iman,4150.479761904186
Elliott with 2 Ts,2809.5941558453305
