source,target,weight
1062674576394448902,19608297,1
1062674576394448902,70740986,1
1062674576394448902,73463687,1
1063012353137147904,1087230353822179328,1
1063012353137147904,70740986,1
1063979097351774208,1218767468954411011,1
1064203416,1241600060988760067,1
1064203416,523839746,1
1064203416,70740986,1
1064205838632591361,1218767468954411011,8
1064205838632591361,1331018240470917120,4
1064205838632591361,70740986,2
1064712810,1151340112955019265,5
1064712810,1331018240470917120,1
1065040118971551744,497591536,1
1065040118971551744,89282580,2
1065858967262261248,1348087687148953601,1
1066195170041913344,1331018240470917120,1
1066195170041913344,400539441,1
1066195170041913344,70740986,1
1066871492,1151340112955019265,1
1066871492,1331018240470917120,2
1066871492,70740986,3
1068681410444173314,1017628083111845888,1
1068681410444173314,1151340112955019265,2
1068681410444173314,1276082192293269504,1
1068681410444173314,1512446430,1
1068681410444173314,16573941,1
1068681410444173314,19409508,1
1068681410444173314,451131659,1
1068681410444173314,497591536,4
1068681410444173314,70740986,3
1068681410444173314,757695091,1
1068681410444173314,834477656989106183,1
1068681410444173314,89282580,23
1068681410444173314,920903952539021313,1
1068681410444173314,938424931230060544,1
1068681410444173314,963631905878036482,1
1069230890,1105838381622329344,1
1069230890,2274214254,1
1069599576892559361,1250554778809237505,1
1069795410695389184,1218767468954411011,1
1069938824799756289,19608297,1
1069938824799756289,70740986,1
1069946730479804416,400539441,1
1069946730479804416,55304674,1
1070138026997751810,1130862791802404864,1
1070175036382822400,1331018240470917120,1
1070175036382822400,24929621,1
1070287159859560448,26068447,1
1070589149856575488,23680536,1
1070589149856575488,70740986,1
1071536266255192064,1151340112955019265,1
1071536266255192064,1218767468954411011,2
1071536266255192064,1331018240470917120,1
1071536266255192064,497591536,1
1071536266255192064,89282580,1
1071536266255192064,967299284235440128,1
1071970851434639360,89282580,1
1073018387624796162,400539441,1
1073018387624796162,70740986,1
1073560264593821696,2850598724,1
1073560264593821696,826740883,1
1074177398957137925,1229152419382165504,1
1074338298804531200,1105838381622329344,1
1074522946587238400,1130862791802404864,1
1074522946587238400,1241600060988760067,1
1074790896518991874,1218767468954411011,1
1074790896518991874,221651256,1
1075953851918925824,1331018240470917120,1
1076638967259430913,1151340112955019265,2
1076638967259430913,70740986,1
1077225895838928896,1331018240470917120,1
1077225895838928896,19608297,1
1077225895838928896,70740986,2
1078007354384437250,1348087687148953601,1
1078219648976519168,1331018240470917120,3
1078219648976519168,268269767,1
1078219648976519168,70740986,2
1078219648976519168,73463687,1
1078219648976519168,89282580,3
1078371982889177089,1218767468954411011,1
1078371982889177089,19608297,1
1078371982889177089,70740986,1
1078481588,19608297,1
1078481588,70740986,1
1079192662807318528,1331018240470917120,2
1079344570331267072,1331018240470917120,1
1079344570331267072,1363145507506446336,1
1079550454256816130,1151340112955019265,1
1079628553,1304051396942139397,1
1079951048146599936,1218767468954411011,1
1080210768820424704,1151340112955019265,1
1080267684,70740986,2
1080683282537287681,101325032,1
1080683282537287681,1068681410444173314,1
1080683282537287681,1151340112955019265,2
1080683282537287681,1218767468954411011,2
1080683282537287681,22647474,1
1081070687681499136,2869129385,1
1081070687681499136,89282580,2
1082028866,1130862791802404864,1
1082763651612856322,1331018240470917120,1
1082763651612856322,70740986,2
1083036277166010369,1250554778809237505,1
