source,target,weight
1000075059946541057,1331018240470917120,1
1000075059946541057,2899785615,1
1000176387788017665,462589758,1
1000487736703442944,1331018240470917120,1
1000487736703442944,967299284235440128,1
1001122832728903681,1218767468954411011,2
1001122832728903681,17580570,1
1001122832728903681,35927867,1
1001122832728903681,807000113172201476,1
1001282335600529408,1331018240470917120,1
1002531097,1278290552081887232,1
1002602961430818818,1218767468954411011,1
1002602961430818818,24272686,1
1002602961430818818,826740883,1
1002754171844509696,497591536,1
1002754171844509696,89282580,1
1002754171844509696,967912318398058496,1
1002890768808325121,1002890768808325121,1
1002890768808325121,1331018240470917120,2
1002890768808325121,221651256,2
1003547160,1331018240470917120,1
1003547160,933013749329514496,1
1003807237129822208,1218767468954411011,1
100415904,73463687,1
1005262292,70740986,1
1005980741996433409,167269788,1
1006216010771378176,1330871822,1
1006216010771378176,70740986,1
1006216010771378176,89282580,3
1006230059810619392,1218767468954411011,1
1006230059810619392,1331018240470917120,1
1006230059810619392,70740986,1
100642037,1218767468954411011,2
100642037,89282580,1
1007123951993016321,754006735468261376,1
1007123951993016321,967299284235440128,1
1007228484895236096,1146791572551413760,1
1007370502866796544,1297454843288858624,1
1007370502866796544,1331018240470917120,1
1007370502866796544,1358407609166950401,1
1007370502866796544,70740986,1
1007370502866796544,725117277524267008,1
1007370502866796544,933013749329514496,1
1007736018467020801,1198827021104750592,1
1007736018467020801,917555363649589248,1
1007779242724249600,89282580,1
100842232,1218767468954411011,1
1009276352,1013877420326309888,1
1009276352,1331018240470917120,1
1009360200044695552,1218767468954411011,3
1009360200044695552,35927867,1
1009360200044695552,70740986,1
1009360200044695552,807000113172201476,1
1010696143,1013877420326309888,1
1010696143,1331018240470917120,1
1011312969936973826,1105838381622329344,1
1011312969936973826,35546290,1
1011312969936973826,54799313,1
1011312969936973826,65276720,1
1011312969936973826,88346657,1
1012889817347026944,1331018240470917120,1
101325032,1218767468954411011,1
101325032,70740986,1
1013877420326309888,1331018240470917120,1
1013877420326309888,1353065848554967044,1
1013906380732821504,4901133017,1
1014393487519723520,1331018240470917120,1
1014776857844224000,1037741464707624962,1
1014776857844224000,1218767468954411011,1
1014776857844224000,221651256,1
1014776857844224000,725117277524267008,1
1014776857844224000,89282580,1
1014846429960048641,1313179829634621440,1
1014895923107913728,1105838381622329344,1
1014895923107913728,497591536,1
1014895923107913728,525795690,1
1014895923107913728,88346657,1
1014895923107913728,89282580,1
1014895923107913728,967912318398058496,1
1014953492694200320,1038520012473098240,1
1015001186632691712,1331018240470917120,2
1015001186632691712,1345907498922991616,1
1015024093916270592,1218767468954411011,1
1015384255470321664,1331018240470917120,1
1016465542201266176,1172190405028392960,1
1016841412573319169,1138440422173413376,2
1016841412573319169,1331018240470917120,2
1018355732842811393,34507480,1
1018355732842811393,70740986,1
1018355732842811393,82455213,1
1019652353484615681,89282580,1
1020526513802883078,1100350954803773441,1
1020943696437493760,1331018240470917120,1
1021247703437717504,1331018240470917120,1
102254013,754006735468261376,1
102254013,967299284235440128,1
1023253238756270080,1100350954803773441,1
1023600184272535552,70740986,1
1024454642158194688,184503747,1
1024506230717464576,1024506230717464576,1
1024506230717464576,1331018240470917120,1
1025324514,1218767468954411011,1
1025324514,1331018240470917120,4
1025324514,874256563,1
1025324514,89282580,3
1025324514,967299284235440128,1
102536347,89282580,1
1025525989303087104,1278290552081887232,1
102579887,1215592109199233024,1
102579887,70740986,1
102595518,1365385609,1
102595518,82455213,1
102595518,89282580,1
1026940304249823233,1356246861049442313,1
102741472,1331018240470917120,1
1027548595988377600,966380856972541953,1
1028074714735038464,1116071575407796224,1
1028649795592830976,1245913291639177216,1
1029991134,89282580,1
1030233707968389123,1116071575407796224,1
1030266175677181953,1331018240470917120,1
1030266175677181953,933013749329514496,1
1030311637641818112,1263966327150120961,1
1030311637641818112,26068447,1
1030311637641818112,70740986,1
1030311637641818112,89282580,1
1030584094063816706,1304051396942139397,1
1030584094063816706,1341476863387066371,1
1030584094063816706,907064176375484416,1
1031090279506300929,1331018240470917120,1
1033424408231067649,1331018240470917120,1
1034708590311948288,1331018240470917120,1
1035542030171217922,1038520012473098240,1
1036091595974746113,1347010793573916673,1
1037741464707624962,1304051396942139397,2
1037741464707624962,75587121,1
1038520012473098240,1331018240470917120,1
1039674950146293761,1331018240470917120,1
1039674950146293761,70740986,1
1039674950146293761,89282580,1
1039674950146293761,967299284235440128,2
1040756660,1331018240470917120,1
1041396940410372097,1116071575407796224,1
1042963018613645312,951228252747689991,2
1043605157492269057,178088940,1
1043605157492269057,70740986,1
1044069808709533696,1013877420326309888,1
1044069808709533696,1331018240470917120,1
1045545581794471936,2196532010,1
1046448126389833729,1100350954803773441,1
1046448126389833729,1246578119307337729,1
1046448126389833729,70740986,2
1046496153720803335,1218767468954411011,1
1046496153720803335,1348087687148953601,1
1046496153720803335,2196532010,1
1047341584726016000,1218767468954411011,1
1047413642,1331018240470917120,1
1048816328,1105838381622329344,1
1048816328,1218767468954411011,1
1048816328,88346657,1
1049066337929064448,70740986,1
1052319190118555650,1218767468954411011,2
1052319190118555650,1331018240470917120,1
1052319190118555650,221651256,1
1052845073614983168,252173791,1
1052845073614983168,452603959,1
1052845073614983168,958794005713530881,1
1053567777947045889,1350549294,1
1053567777947045889,967299284235440128,1
1053567777947045889,982628840,1
1053683794534977537,1218767468954411011,1
1053683794534977537,70740986,1
1053759460747829248,1218767468954411011,1
1054097684540342272,89282580,1
105578205,1304051396942139397,1
105578205,1350549294,1
1057489744190423040,1218767468954411011,1
1057489744190423040,35927867,1
1057489744190423040,807000113172201476,1
1057755422386540544,754006735468261376,1
1057755422386540544,967299284235440128,1
1059241557847670784,1151340112955019265,3
1059241557847670784,1193714351099797504,1
1059241557847670784,1255350965953323011,1
1059241557847670784,3178299508,1
1059384889047420929,89282580,1
1059601084816220162,299094385,1
1059601084816220162,70740986,1
1060026009980825600,1331018240470917120,1
1060026009980825600,144964221,1
1060026009980825600,18056288,1
1060026009980825600,57408860,1
1060026009980825600,933013749329514496,1
1060685265105235968,1151340112955019265,1
1061519849376174080,1218767468954411011,1
1061519849376174080,221651256,1
1061800774135619589,1218767468954411011,1
1061800774135619589,70740986,1
1062035838,1331018240470917120,1
1062526421749370880,1331018240470917120,1
1062892132342607879,497591536,1
1062892132342607879,89282580,1
1062892132342607879,967912318398058496,1
1063321,1138440422173413376,1
1063321,1331018240470917120,1
1063639616161554437,89282580,1
1064089570030092288,1331018240470917120,1
1064205838632591361,1218767468954411011,1
1064205838632591361,35927867,1
1064205838632591361,807000113172201476,1
1064355951145299968,62024240,1
1064355951145299968,70740986,1
1064355951145299968,82455213,1
106445071,70740986,1
1064516705685331969,1038520012473098240,1
1064743866031591424,1218767468954411011,1
1064743866031591424,1331018240470917120,1
1064743866031591424,35927867,1
1064743866031591424,807000113172201476,1
1065858967262261248,1218767468954411011,1
1065858967262261248,35927867,1
1065858967262261248,807000113172201476,1
1065858967262261248,89282580,1
1066871492,70740986,1
1067134257569554432,1331018240470917120,1
1069370833771077634,1038520012473098240,1
1069370833771077634,1331018240470917120,1
1069370833771077634,23944798,1
1069370833771077634,3134051146,1
1069370833771077634,70740986,1
1069646213610463234,1218767468954411011,1
1069646213610463234,40981798,1
1069661333421993987,73463687,1
1069723737531039746,26068447,1
1069810710,1350549294,1
1069858885962354689,70740986,1
