source,target,weight
1000760395219587072,1105838381622329344,1
1000760395219587072,70740986,1
1000917118563516417,1151340112955019265,1
1001121755266596865,1105838381622329344,2
1001121755266596865,70740986,1
1001122832728903681,73463687,1
1001562439673106432,1105838381622329344,1
1001562439673106432,70740986,1
1002264516384690176,1151340112955019265,3
1002264516384690176,70740986,1
1002264516384690176,743175053202890752,1
1002264516384690176,749313826739384321,1
1002264516384690176,967299284235440128,3
1002602961430818818,497055398,1
1003462366636445696,1151340112955019265,1
1004859515668455426,1028047537431883777,1
1004859515668455426,70740986,1
1005037993,82455213,1
100581338,70740986,1
100581338,89282580,1
1006183370248687616,1028047537431883777,1
1006183370248687616,23944798,1
1006183370248687616,70740986,1
1006183370248687616,793779408821641216,1
1006187553840615424,1286780777422888963,1
1006249711,1218767468954411011,1
1006395350880382976,23944798,1
1006395350880382976,70740986,1
1006910784,89282580,1
1007370502866796544,1000431037141446659,1
1007524598290796544,1331018240470917120,1
1007524598290796544,462650584,1
1007635662,4871127898,1
1008909679379042305,1331018240470917120,1
1008909679379042305,73463687,2
1009360200044695552,1218767468954411011,1
1009983172803784704,23944798,1
1009983172803784704,70740986,1
101068912,73463687,1
1010966450675290113,497591536,1
1010966450675290113,89282580,1
1011098434189824001,1360406910684585988,1
1011312969936973826,1331018240470917120,1
1011312969936973826,221651256,2
1011312969936973826,70740986,1
1011312969936973826,793779408821641216,1
1011737084,89282580,1
1012055711608705024,89282580,1
101254561,563097024,1
1013204415086497793,1105838381622329344,1
1013204415086497793,1151340112955019265,1
1013204415086497793,1218767468954411011,1
1013204415086497793,16402111,1
1013204415086497793,23888081,1
1013204415086497793,23944798,1
1013204415086497793,967299284235440128,2
1013749925006528512,1109912402706030595,1
1014776857844224000,221651256,1
1014776857844224000,89282580,1
1014895923107913728,1105838381622329344,1
1014895923107913728,70740986,1
1014895923107913728,89282580,1
1015001186632691712,1331018240470917120,3
1015001186632691712,70740986,2
1015215335853748225,1116071575407796224,1
1015215335853748225,3330717731,1
1015727686256349184,1048216757767491586,1
1015975791874764800,1105838381622329344,2
1015975791874764800,16402111,1
1015975791874764800,23888081,1
1015975791874764800,23944798,1
1015975791874764800,303624091,1
1017238605910048769,70740986,1
1017238605910048769,874256563,1
1017628083111845888,89282580,1
1018145396151980038,1247811557003685889,1
1018976619212496897,102579887,1
1018976619212496897,89282580,1
1019711416947957760,42301660,1
1020526513802883078,1358407609166950401,1
1020543225487134720,1356774837885280261,1
1020543225487134720,221651256,1
1021247703437717504,1105838381622329344,1
1021247703437717504,16402111,1
1021247703437717504,23888081,1
1021247703437717504,23944798,1
1021247703437717504,70740986,1
1021935316536635392,1105838381622329344,1
1021935316536635392,1151340112955019265,2
1021935316536635392,1303416853344202752,1
1021935316536635392,16402111,1
1021935316536635392,23888081,1
1021935316536635392,23944798,1
1021935316536635392,563097024,1
1021935316536635392,73463687,1
1021935316536635392,89282580,1
1022162274725912577,96944889,1
1022162274725912577,995324551042125824,1
1022270882201391104,1105838381622329344,1
1022270882201391104,16402111,1
1022270882201391104,23888081,1
1022270882201391104,23944798,1
1022516099915685891,350129163,1
1023080197690540033,1331018240470917120,1
1023080197690540033,15792387,1
1023080197690540033,70740986,1
1023080197690540033,89282580,1
1023223461420978176,70740986,1
1023498547,1319782646940053504,1
1023498547,96944889,1
1024438888662753282,70740986,1
1024438888662753282,798205169330769920,1
1024743209057099777,1105838381622329344,1
1024743209057099777,70740986,1
1025040710918135808,1105838381622329344,1
1025324514,1028047537431883777,1
1025324514,556352307,1
1025324514,874256563,1
1025324514,89282580,4
1025526524957487104,519845286,1
102579887,23888081,1
1026598532579504128,497591536,1
1026598532579504128,89282580,1
102687323,1372342722099576834,1
102687323,70740986,1
102687323,874256563,1
1027827038,1105838381622329344,1
