source,target,weight
1000407122,1151340112955019265,2
1000528076965597184,1087502008603602944,1
1000528076965597184,130287690,1
1000528076965597184,1343298266256068610,1
1000528076965597184,3658194797,1
1000528076965597184,58694433,1
1000528076965597184,857337867273723904,1
1000528076965597184,89282580,2
1000592047831691264,1151340112955019265,1
1000760395219587072,24565983,1
1000803583460368389,1151340112955019265,1
100092407,286465244,1
1001121755266596865,1226580038012854279,1
1001121755266596865,840378550918176769,1
1001121755266596865,89282580,2
1002264516384690176,1151340112955019265,4
1002264516384690176,2866810162,1
1002264516384690176,714203430617743361,1
1002264516384690176,92949925,1
1002264516384690176,967299284235440128,5
1002898212,1151340112955019265,1
1003166571244769280,1218767468954411011,1
1003166571244769280,46942969,1
1003166571244769280,564313817,1
1003166571244769280,599785148,1
1003639762337583106,1365819765495840769,1
1003991994572689408,1025525989303087104,1
100415904,1218767468954411011,2
100415904,46942969,1
100415904,564313817,1
100415904,599785148,1
1004162013432635393,40545173,1
1004162013432635393,611268056,1
1005374826955960320,1304051396942139397,1
100581338,1094615142778703873,1
100581338,1151340112955019265,1
100581338,1331018240470917120,1
100595675,1105838381622329344,1
1006183370248687616,70740986,1
1006187553840615424,70740986,1
1006187553840615424,89282580,1
1007250934550933504,848810591821205506,1
1007283473651027968,1151340112955019265,1
1007294353818226694,1007294353818226694,2
1007370502866796544,1025525989303087104,1
1007370502866796544,1091104099351887873,1
1007370502866796544,1151340112955019265,6
1007370502866796544,1226580038012854279,1
1007370502866796544,1278147136895324160,1
1007370502866796544,1331018240470917120,1
1007370502866796544,1341183073191260160,1
1007370502866796544,1351628763700862983,2
1007370502866796544,1352865981522128896,1
1007370502866796544,256824557,1
1007370502866796544,70740986,3
1007370502866796544,73463687,1
1007370502866796544,948407951911456768,1
1007370502866796544,953320140271177728,1
1007370502866796544,967299284235440128,1
1007736018467020801,1151340112955019265,1
1007736018467020801,1281787269834321921,1
1009091627728756736,1360406910684585988,1
1009253265685536768,1218767468954411011,1
1009253265685536768,46942969,1
1009253265685536768,564313817,1
1009253265685536768,599785148,1
1009626030154215424,28178781,1
1009626030154215424,70740986,2
1010387363716059136,89282580,1
1010999929588809729,1151340112955019265,2
1010999929588809729,1209452122900594688,1
1010999929588809729,1362196291120484356,1
1010999929588809729,1557421386,1
1010999929588809729,2498674115,1
1010999929588809729,3127728562,1
1010999929588809729,769958131820400641,1
1010999929588809729,953320140271177728,1
1011769241186590721,1218767468954411011,1
1011769241186590721,46942969,1
1011769241186590721,564313817,1
1011769241186590721,599785148,1
1011769241186590721,89282580,2
1012521756647514112,1557421386,2
1013204415086497793,1331018240470917120,1
1013204415086497793,70740986,1
101325032,1364257843050934276,1
1013877420326309888,1304051396942139397,1
1014181321902641152,89282580,1
1014895923107913728,89282580,1
1014953492694200320,1331018240470917120,1
1014953492694200320,849891680044142592,1
1015272253456515074,70740986,1
1015272253456515074,777570371738361857,1
1016465542201266176,1147054406,1
101668581,1291164679591677953,1
1016841412573319169,1151340112955019265,1
1016841412573319169,256824557,1
