source,target,weight
1000127610599460864,1218767468954411011,1
1000127610599460864,1331018240470917120,1
1001022754638909441,1151340112955019265,1
1001022754638909441,7025662,1
1006216010771378176,221651256,1
1006216010771378176,70740986,1
1006216010771378176,89282580,1
1007370502866796544,33549858,1
1007370502866796544,70740986,1
1007736018467020801,1218767468954411011,1
1007736018467020801,1331018240470917120,1
1007736018467020801,1349874606027501583,1
1007736018467020801,153838690,1
1007736018467020801,89282580,2
1009825649736015872,1206687307056787462,1
1011312969936973826,1105838381622329344,1
1011312969936973826,70740986,1
1012879781594005504,89282580,1
1014875022974955523,89282580,1
1014888686016782336,1151340112955019265,1
1014888686016782336,21645641,1
1014888686016782336,358470557,1
1014895923107913728,89282580,1
1017076337092321280,1151340112955019265,1
1018564950623567872,14230524,1
1018564950623567872,183030327,1
1018564950623567872,89282580,1
1019049038010675200,1151340112955019265,1
1019049038010675200,7025662,1
1021802416776392704,1116071575407796224,1
1021935316536635392,1151340112955019265,2
1021935316536635392,1218767468954411011,1
1021935316536635392,1331018240470917120,1
1021935316536635392,7025662,6
1021935316536635392,874256563,1
1021935316536635392,89282580,1
1022162274725912577,1105838381622329344,1
1022943613590888453,7025662,1
1022943613590888453,70740986,1
1024539377190490112,1331018240470917120,2
1025324514,1331018240470917120,1
1025324514,15792387,1
1025324514,89282580,1
1026851519671492609,1151340112955019265,1
1027990788645576704,1304051396942139397,1
1029951169760768001,1151340112955019265,1
1029951169760768001,15792387,1
1033557510895149056,70740986,1
103762416,1151340112955019265,1
103762416,7025662,1
1039674950146293761,967299284235440128,1
1040282611799740417,221651256,1
1040282611799740417,70740986,1
1040657814736257025,1002264516384690176,1
1040657814736257025,1116071575407796224,1
1040657814736257025,3330717731,4
1041540429337030657,1151340112955019265,1
1041540429337030657,7025662,1
104359494,1218767468954411011,1
104359494,874256563,1
1044602363770802176,1218767468954411011,1
1044602363770802176,1331018240470917120,1
1044669801476628480,1218767468954411011,1
1044827459126996992,1151340112955019265,1
1044827459126996992,7025662,1
1045475206054248448,14230524,1
1045475206054248448,183030327,1
1045475206054248448,89282580,2
1046448126389833729,1151340112955019265,1
1052319190118555650,1331018240470917120,1
1053561969964400640,7025662,1
1053684564,7025662,1
1054844253963116545,1151340112955019265,1
1054844253963116545,89282580,1
1056915012474847237,70740986,1
1057225324759576577,1331018240470917120,1
1057225324759576577,89282580,1
1057785240301850624,1331018240470917120,2
1057785240301850624,15792387,1
1057785240301850624,89282580,1
1058833634,221651256,1
1058833634,70740986,1
1064205838632591361,1218767468954411011,1
1064205838632591361,1331018240470917120,1
1066798840693563392,1304051396942139397,1
1068681410444173314,497591536,1
1068681410444173314,89282580,5
1068681410444173314,967912318398058496,1
1069749953038376960,111199711,1
1069749953038376960,1218767468954411011,1
1073809798041350144,34418203,1
1073809798041350144,7025662,1
1074659241552723974,1161723340475817984,1
1074659241552723974,1331018240470917120,1
1074847487628857344,1007736018467020801,1
1074847487628857344,4870952111,1
1076638967259430913,1151340112955019265,1
1077415291259359233,1151340112955019265,1
1080683282537287681,1151340112955019265,1
1080683282537287681,21645641,1
1080683282537287681,221651256,1
1080683282537287681,358470557,1
1080683282537287681,375923438,1
1081788983418519552,1218767468954411011,1
1081788983418519552,1331018240470917120,1
1081899899694784512,14230524,1
1081899899694784512,183030327,1
1081899899694784512,89282580,1
1082819697450631169,89282580,1
1084132130,1151340112955019265,1
1084132130,21645641,1
1084132130,358470557,1
1084132130,50841706,1
1084132130,872408798073282560,1
1085672858334879744,70740986,1
1087372640,221651256,1
1087372640,70740986,1
1087502008603602944,89282580,1
1088120833527201793,1151340112955019265,1
1088120833527201793,21645641,1
1088120833527201793,358470557,1
1089713687454134272,1331018240470917120,1
1091104099351887873,7025662,1
1091104099351887873,874256563,1
1094980211911913472,89282580,1
1095322702905257985,1246578119307337729,1
1095322702905257985,1304051396942139397,1
1095322702905257985,1331018240470917120,1
1095322702905257985,1358407609166950401,2
1095322702905257985,1365397245210882052,1
1095775067034636288,89282580,1
109746464,1177644192610361345,1
1098409623055405056,1218767468954411011,1
1100529277332799490,45299043,1
1100529277332799490,7025662,2
1100529277332799490,834054641000312834,1
1100529277332799490,89282580,2
1100599713190027264,1218767468954411011,1
1100599713190027264,1331018240470917120,1
1100599713190027264,14230524,1
1100599713190027264,183030327,1
1100599713190027264,89282580,1
1100599713190027264,967299284235440128,1
1102311347923103745,1151340112955019265,1
1102311347923103745,7025662,1
1102500990329085952,121583530,1
1102500990329085952,70740986,1
1102500990329085952,89282580,1
1103472039132827649,7025662,1
1103472039132827649,89282580,1
1104222768097304576,1218767468954411011,2
1104222768097304576,1331018240470917120,3
1104222768097304576,806105386109517824,1
110527889,1151340112955019265,1
110527889,7025662,1
1105871569727995904,578288795,1
1108841938298507264,967299284235440128,1
110903384,1218767468954411011,1
1113573823562035201,14230524,1
1113573823562035201,183030327,1
1113573823562035201,89282580,1
1114247512695533568,7025662,1
1114247512695533568,89282580,1
1114406339885916161,70740986,1
1119072132267298817,1331018240470917120,2
1119072132267298817,221651256,1
1119072132267298817,70740986,2
1119072132267298817,89282580,1
112036532,630306751,1
1125904172,1151340112955019265,2
1125904172,7025662,1
1126589378342551553,213088670,1
1126962769415344128,70740986,1
1132313225490571265,1360406910684585988,1
1132313225490571265,337998042,1
1132402306446708737,89282580,1
1133396456658866177,7025662,1
1133396456658866177,89282580,1
1134418378020577282,1105838381622329344,1
1134418378020577282,1331018240470917120,2
1134418378020577282,22998150,1
1134418378020577282,70740986,1
1134418378020577282,82455213,1
113505134,7025662,1
113505134,89282580,1
1136387109667950594,70740986,1
1136629999052697600,344925046,1
113714205,256824557,1
113714205,70740986,2
113714205,89282580,1
113714205,967299284235440128,1
1138286927743000581,1052581285540110336,1
1138286927743000581,1203814286168080385,1
1138286927743000581,1246578119307337729,1
1138286927743000581,1315483968834359296,1
1138286927743000581,256824557,1
1138286927743000581,34418203,1
1138286927743000581,7025662,1
1138286927743000581,70740986,1
1138286927743000581,71026122,1
1138286927743000581,874256563,1
1138286927743000581,967299284235440128,1
1141401533256482816,89282580,1
1142860256235724800,15792387,2
1142860256235724800,256824557,1
1142860256235724800,89282580,1
1144429418707935232,1151340112955019265,1
1145622653534760960,89282580,1
1146428706857992192,221651256,1
1146428706857992192,70740986,1
1146791572551413760,89282580,4
1148815857516023809,7025662,1
1148815857516023809,89282580,1
1149607480827289600,1331018240470917120,1
1149607480827289600,30570271,1
1149607480827289600,497591536,1
1149607480827289600,89282580,1
1149607480827289600,967912318398058496,1
1150162766021496832,1151340112955019265,1
1150162766021496832,21645641,1
1150162766021496832,358470557,1
1150868736750080001,1151340112955019265,1
1153910057173581825,15792387,1
1153910057173581825,89282580,1
1154519083532070913,967299284235440128,1
1156247089996845057,1218767468954411011,1
1156247089996845057,1331018240470917120,1
1158131668948901888,1151340112955019265,2
1158131668948901888,1249529747547156480,1
1158131668948901888,1331018240470917120,1
1158131668948901888,21645641,1
1158131668948901888,358470557,1
1158131668948901888,7025662,1
1159273884765630466,1105838381622329344,1
1165670270058651648,1151340112955019265,1
1165994513783033856,1218767468954411011,1
1167607211209703425,1007736018467020801,1
1168199974376660992,1095322702905257985,1
1168199974376660992,1116071575407796224,1
1168199974376660992,1161438249430200320,1
1168199974376660992,1241823195512135689,1
1168199974376660992,1260256966179520514,1
1168199974376660992,1372217387798429696,2
1168199974376660992,142955542,1
1168199974376660992,24489790,1
1168199974376660992,779490550051463168,1
1171224362004992000,1212198513213239297,1
1171224362004992000,2366345316,1
1171224362004992000,89282580,1
117294126,14230524,1
117294126,183030327,1
117294126,89282580,1
1173417531769593857,1348087687148953601,1
